div_dpto;departamento;ano;casos;proyeccion;tasa;hist_dpto;porcentaje
44;GUAJIRA;2019;216;927506;23.288259051693466;2601;8.304498269896193
44;GUAJIRA;2018;224;880560;25.438357408921593;2601;8.612072279892349
44;GUAJIRA;2017;221;846012;26.122560909301527;2601;8.49673202614379
44;GUAJIRA;2016;192;822700;23.337790202990153;2601;7.381776239907728
44;GUAJIRA;2015;183;803092;22.78692852126531;2601;7.035755478662054
44;GUAJIRA;2014;147;786618;18.68759677505473;2601;5.651672433679354
44;GUAJIRA;2013;184;770616;23.877002294268483;2601;7.074202229911572
44;GUAJIRA;2012;235;754574;31.143400117152193;2601;9.034986543637062
44;GUAJIRA;2011;229;738743;30.998601678797634;2601;8.804306036139947
44;GUAJIRA;2010;83;722913;11.481326245343492;2601;3.1910803537101113
20;CESAR;2023;285;1359719;20.96021310285434;3220;8.850931677018634
20;CESAR;2022;361;1341697;26.906223983507452;3220;11.211180124223603
20;CESAR;2021;278;1322466;21.02133438591238;3220;8.633540372670808
20;CESAR;2020;239;1295387;18.450084800912776;3220;7.422360248447204
20;CESAR;2019;230;1252398;18.364769027098415;3220;7.142857142857142
20;CESAR;2018;234;1200574;19.49067695952103;3220;7.267080745341616
20;CESAR;2017;209;1162415;17.9798092763772;3220;6.490683229813666
20;CESAR;2016;180;1136299;15.840901030450611;3220;5.590062111801243
20;CESAR;2015;218;1114269;19.564396030043014;3220;6.770186335403727
20;CESAR;2014;199;1095719;18.161590699805334;3220;6.180124223602484
20;CESAR;2013;259;1078033;24.025238559487512;3220;8.043478260869565
20;CESAR;2012;223;1060658;21.024684676870397;3220;6.925465838509316
20;CESAR;2011;225;1043754;21.556803614644828;3220;6.987577639751552
20;CESAR;2010;80;1027089;7.789003679330613;3220;2.484472049689441
47;MAGDALENA;2023;379;1476665;25.66594318955213;4045;9.369592088998765
47;MAGDALENA;2022;496;1463427;33.893046937086716;4045;12.26205191594561
47;MAGDALENA;2021;379;1449087;26.154399287275368;4045;9.369592088998765
47;MAGDALENA;2020;339;1427026;23.755698915086338;4045;8.380716934487022
47;MAGDALENA;2019;261;1388832;18.792769751849036;4045;6.452410383189122
47;MAGDALENA;2018;218;1341746;16.247486484029018;4045;5.389369592088999
47;MAGDALENA;2017;204;1309259;15.581332646939986;4045;5.043263288009888
47;MAGDALENA;2016;201;1287462;15.612111270080204;4045;4.9690976514215075
47;MAGDALENA;2015;192;1268980;15.130262100269508;4045;4.746600741656366
47;MAGDALENA;2014;216;1253211;17.235724869954062;4045;5.339925834363412
47;MAGDALENA;2013;336;1237543;27.150571737709317;4045;8.30655129789864
47;MAGDALENA;2012;375;1221419;30.701994974697467;4045;9.270704573547588
47;MAGDALENA;2011;345;1204977;28.631251882816024;4045;8.529048207663783
47;MAGDALENA;2010;104;1188000;8.754208754208754;4045;2.5710754017305315
41;HUILA;2023;260;1149598;22.61660162943916;3614;7.194244604316546
41;HUILA;2022;278;1140932;24.36604460213229;3614;7.6923076923076925
41;HUILA;2021;319;1131934;28.18185512582889;3614;8.8267847260653
41;HUILA;2020;288;1122622;25.65422733564815;3614;7.969009407858328
41;HUILA;2019;260;1111844;23.384575533977788;3614;7.194244604316546
41;HUILA;2018;237;1100386;21.53789670170286;3614;6.557830658550083
41;HUILA;2017;209;1086654;19.23335302681442;3614;5.783065855008301
41;HUILA;2016;253;1073916;23.558639595648078;3614;7.000553403431101
41;HUILA;2015;205;1061405;19.314022451373418;3614;5.672385168788047
41;HUILA;2014;231;1049215;22.016459924800923;3614;6.391809629219701
41;HUILA;2013;337;1037252;32.48969392201702;3614;9.324847814056447
41;HUILA;2012;322;1025384;31.402869559111515;3614;8.909795240730492
41;HUILA;2011;315;1013418;31.082929255253013;3614;8.716104039845048
41;HUILA;2010;100;1001372;9.986298798049077;3614;2.7670171555063643
86;PUTUMAYO;2023;165;374042;44.11269322696382;2324;7.099827882960414
86;PUTUMAYO;2022;224;369064;60.69408015953872;2324;9.63855421686747
86;PUTUMAYO;2021;189;364085;51.910954859442164;2324;8.132530120481928
86;PUTUMAYO;2020;185;359127;51.513809877842654;2324;7.960413080895008
86;PUTUMAYO;2019;169;353759;47.77263617321397;2324;7.271944922547332
86;PUTUMAYO;2018;159;348182;45.665772498291126;2324;6.841652323580035
