div_dpto;departamento;div_mun;municipio;casos;mes;ano
5;Antioquia;5308;Girardota;5;Enero - Septiembre;2022
68;Santander;68307;Girón;18;Enero - Septiembre;2022
5;Antioquia;5310;Gómez Plata;5;Enero - Septiembre;2022
20;Cesar;20310;González;2;Enero - Septiembre;2022
5;Antioquia;5313;Granada;1;Enero - Septiembre;2022
50;Meta;50313;Granada;16;Enero - Septiembre;2022
68;Santander;68318;Guaca;2;Enero - Septiembre;2022
76;Valle del Cauca;76318;Guacarí;13;Enero - Septiembre;2022
19;Cauca;19300;Guachené;12;Enero - Septiembre;2022
25;Cundinamarca;25317;Guachetá;1;Enero - Septiembre;2022
52;Nariño;52317;Guachucal;4;Enero - Septiembre;2022
76;Valle del Cauca;76111;Guadalajara de Buga;57;Enero - Septiembre;2022
5;Antioquia;5315;Guadalupe;1;Enero - Septiembre;2022
41;Huila;41319;Guadalupe;3;Enero - Septiembre;2022
25;Cundinamarca;25320;Guaduas;1;Enero - Septiembre;2022
50;Meta;50318;Guamal;2;Enero - Septiembre;2022
73;Tolima;73319;Guamo;6;Enero - Septiembre;2022
19;Cauca;19318;Guapi;15;Enero - Septiembre;2022
70;Sucre;70265;Guaranda;4;Enero - Septiembre;2022
5;Antioquia;5318;Guarne;7;Enero - Septiembre;2022
5;Antioquia;5321;Guatapé;1;Enero - Septiembre;2022
25;Cundinamarca;25326;Guatavita;1;Enero - Septiembre;2022
68;Santander;68327;Güepsa;1;Enero - Septiembre;2022
25;Cundinamarca;25339;Gutiérrez;1;Enero - Septiembre;2022
13;Bolívar;13300;Hatillo de Loba;3;Enero - Septiembre;2022
85;Casanare;85125;Hato Corozal;1;Enero - Septiembre;2022
44;La Guajira;44378;Hatonuevo;2;Enero - Septiembre;2022
5;Antioquia;5347;Heliconia;3;Enero - Septiembre;2022
73;Tolima;73347;Herveo;1;Enero - Septiembre;2022
5;Antioquia;5353;Hispania;2;Enero - Septiembre;2022
73;Tolima;73349;Honda;9;Enero - Septiembre;2022
73;Tolima;73001;Ibagué;53;Enero - Septiembre;2022
52;Nariño;52352;Iles;2;Enero - Septiembre;2022
94;Guainía;94001;Inírida;1;Enero - Septiembre;2022
19;Cauca;19355;Inzá;2;Enero - Septiembre;2022
52;Nariño;52356;Ipiales;27;Enero - Septiembre;2022
41;Huila;41357;Íquira;2;Enero - Septiembre;2022
41;Huila;41359;Isnos;7;Enero - Septiembre;2022
27;Chocó;27361;Istmina;10;Enero - Septiembre;2022
5;Antioquia;5360;Itagüí;20;Enero - Septiembre;2022
5;Antioquia;5361;Ituango;27;Enero - Septiembre;2022
19;Cauca;19364;Jambaló;2;Enero - Septiembre;2022
76;Valle del Cauca;76364;Jamundí;75;Enero - Septiembre;2022
5;Antioquia;5364;Jardín;4;Enero - Septiembre;2022
5;Antioquia;5368;Jericó;5;Enero - Septiembre;2022
15;Boyacá;15368;Jericó;2;Enero - Septiembre;2022
25;Cundinamarca;25368;Jerusalén;1;Enero - Septiembre;2022
8;Atlántico;8372;Juan de Acosta;6;Enero - Septiembre;2022
27;Chocó;27372;Juradó;1;Enero - Septiembre;2022
23;Córdoba;23350;La Apartada;3;Enero - Septiembre;2022
5;Antioquia;5376;La Ceja;6;Enero - Septiembre;2022
66;Risaralda;66383;La Celia;3;Enero - Septiembre;2022
52;Nariño;52378;La Cruz;2;Enero - Septiembre;2022
76;Valle del Cauca;76377;La Cumbre;2;Enero - Septiembre;2022
17;Caldas;17380;La Dorada;12;Enero - Septiembre;2022
54;Norte de Santander;54385;La Esperanza;1;Enero - Septiembre;2022
5;Antioquia;5380;La Estrella;12;Enero - Septiembre;2022
52;Nariño;52381;La Florida;1;Enero - Septiembre;2022
20;Cesar;20400;La Jagua de Ibirico;11;Enero - Septiembre;2022
52;Nariño;52385;La Llanada;1;Enero - Septiembre;2022
50;Meta;50350;La Macarena;17;Enero - Septiembre;2022
17;Caldas;17388;La Merced;1;Enero - Septiembre;2022
25;Cundinamarca;25386;La Mesa;3;Enero - Septiembre;2022
18;Caquetá;18410;La Montañita;13;Enero - Septiembre;2022
20;Cesar;20621;La Paz;5;Enero - Septiembre;2022
68;Santander;68397;La Paz;1;Enero - Septiembre;2022
5;Antioquia;5390;La Pintada;3;Enero - Septiembre;2022
41;Huila;41396;La Plata;8;Enero - Septiembre;2022
54;Norte de Santander;54398;La Playa;2;Enero - Septiembre;2022
99;Vichada;99524;La Primavera;1;Enero - Septiembre;2022
19;Cauca;19392;La Sierra;3;Enero - Septiembre;2022
63;Quindio;63401;La Tebaida;10;Enero - Septiembre;2022
