div_dpto;departamento;div_mun;municipio;ano;mes;area_geo;proy;casos;tasa;porcentaje;mun_dep
5;Antioquia;5042;Santafé de Antioquia;2023;Junio;Total;28279;4;14.144771738746066;0.353045013239188;Santafé de Antioquia - Antioquia
5;Antioquia;5044;Anzá;2023;Abril;Total;7508;1;13.319126265316994;0.09671179883945842;Anzá - Antioquia
5;Antioquia;5044;Anzá;2023;Enero;Total;7508;1;13.319126265316994;0.09090909090909091;Anzá - Antioquia
5;Antioquia;5044;Anzá;2023;Marzo;Total;7508;1;13.319126265316994;0.0931098696461825;Anzá - Antioquia
5;Antioquia;5045;Apartadó;2022;Abril;Total;131754;4;3.035960957542086;0.3524229074889868;Apartadó - Antioquia
5;Antioquia;5045;Apartadó;2022;Agosto;Total;131754;5;3.7949511969276073;0.46040515653775327;Apartadó - Antioquia
5;Antioquia;5045;Apartadó;2022;Diciembre;Total;131754;8;6.071921915084172;0.6644518272425249;Apartadó - Antioquia
5;Antioquia;5045;Apartadó;2022;Enero;Total;131754;5;3.7949511969276073;0.4302925989672977;Apartadó - Antioquia
5;Antioquia;5045;Apartadó;2022;Febrero;Total;131754;4;3.035960957542086;0.3864734299516908;Apartadó - Antioquia
5;Antioquia;5045;Apartadó;2022;Julio;Total;131754;3;2.2769707181565644;0.2508361204013378;Apartadó - Antioquia
5;Antioquia;5045;Apartadó;2022;Junio;Total;131754;2;1.517980478771043;0.1937984496124031;Apartadó - Antioquia
5;Antioquia;5045;Apartadó;2022;Marzo;Total;131754;9;6.8309121544696945;0.8317929759704251;Apartadó - Antioquia
5;Antioquia;5045;Apartadó;2022;Mayo;Total;131754;3;2.2769707181565644;0.2546689303904924;Apartadó - Antioquia
5;Antioquia;5045;Apartadó;2022;Noviembre;Total;131754;1;0.7589902393855215;0.09174311926605505;Apartadó - Antioquia
5;Antioquia;5045;Apartadó;2022;Octubre;Total;131754;5;3.7949511969276073;0.4351610095735422;Apartadó - Antioquia
5;Antioquia;5045;Apartadó;2022;Septiembre;Total;131754;4;3.035960957542086;0.36596523330283626;Apartadó - Antioquia
5;Antioquia;5045;Apartadó;2023;Abril;Total;133811;8;5.978581730948876;0.7736943907156674;Apartadó - Antioquia
5;Antioquia;5045;Apartadó;2023;Enero;Total;133811;1;0.7473227163686095;0.09090909090909091;Apartadó - Antioquia
5;Antioquia;5045;Apartadó;2023;Febrero;Total;133811;1;0.7473227163686095;0.10309278350515465;Apartadó - Antioquia
5;Antioquia;5045;Apartadó;2023;Julio;Total;133811;9;6.725904447317484;0.7493755203996669;Apartadó - Antioquia
5;Antioquia;5045;Apartadó;2023;Junio;Total;133811;5;3.7366135818430473;0.44130626654898497;Apartadó - Antioquia
5;Antioquia;5045;Apartadó;2023;Marzo;Total;133811;3;2.2419681491058285;0.27932960893854747;Apartadó - Antioquia
5;Antioquia;5045;Apartadó;2023;Mayo;Total;133811;2;1.494645432737219;0.17889087656529518;Apartadó - Antioquia
5;Antioquia;5051;Arboletes;2022;Julio;Total;31462;2;6.356874960269532;0.16722408026755853;Arboletes - Antioquia
5;Antioquia;5055;Argelia;2022;Agosto;Total;7780;2;25.706940874035986;0.1841620626151013;Argelia - Antioquia
5;Antioquia;5055;Argelia;2022;Diciembre;Total;7780;2;25.706940874035986;0.16611295681063123;Argelia - Antioquia
5;Antioquia;5055;Argelia;2022;Enero;Total;7780;1;12.853470437017993;0.08605851979345956;Argelia - Antioquia
5;Antioquia;5055;Argelia;2022;Julio;Total;7780;1;12.853470437017993;0.08361204013377926;Argelia - Antioquia
5;Antioquia;5055;Argelia;2022;Junio;Total;7780;2;25.706940874035986;0.1937984496124031;Argelia - Antioquia
5;Antioquia;5055;Argelia;2022;Septiembre;Total;7780;2;25.706940874035986;0.18298261665141813;Argelia - Antioquia
5;Antioquia;5055;Argelia;2023;Enero;Total;7902;2;25.31004808909137;0.18181818181818182;Argelia - Antioquia
5;Antioquia;5055;Argelia;2023;Julio;Total;7902;1;12.655024044545685;0.08326394671107411;Argelia - Antioquia
5;Antioquia;5059;Armenia;2022;Septiembre;Total;5232;1;19.113149847094803;0.09149130832570906;Armenia - Antioquia
5;Antioquia;5079;Barbosa;2022;Abril;Total;56053;1;1.7840258326940572;0.0881057268722467;Barbosa - Antioquia
5;Antioquia;5079;Barbosa;2022;Enero;Total;56053;1;1.7840258326940572;0.08605851979345956;Barbosa - Antioquia
