div_dpto;departamento;div_mun;municipio;ano;mes;area_geo;proy;casos;tasa;porcentaje;mun_dep;concat;CambioCasos;CambioPor;Indicador;PDET;CATEGORIA
99;Vichada;99001;Puerto Carreño;2023;Mayo;Total;21007;0;0.0;0.0;Puerto Carreño-Vichada;99001-Mayo-2023;-1.0;-100.0;MENOR;N/A;6
99;Vichada;99001;Puerto Carreño;2022;Mayo;Total;20798;1;4.808154630252909;0.0848896434634974;Puerto Carreño-Vichada;99001-Mayo-2022;F;F;MAYOR;N/A;6
99;Vichada;99001;Puerto Carreño;2023;Marzo;Total;21007;0;0.0;0.0;Puerto Carreño-Vichada;99001-Marzo-2023;-4.0;-100.0;MENOR;N/A;6
99;Vichada;99001;Puerto Carreño;2022;Marzo;Total;20798;4;19.232618521011634;0.3696857670979667;Puerto Carreño-Vichada;99001-Marzo-2022;F;F;MAYOR;N/A;6
99;Vichada;99001;Puerto Carreño;2023;Junio;Total;21007;0;0.0;0.0;Puerto Carreño-Vichada;99001-Junio-2023;-1.0;-100.0;MENOR;N/A;6
99;Vichada;99001;Puerto Carreño;2022;Junio;Total;20798;1;4.808154630252909;0.0968992248062015;Puerto Carreño-Vichada;99001-Junio-2022;F;F;MAYOR;N/A;6
99;Vichada;99001;Puerto Carreño;2023;Julio;Total;21007;2;9.520635978483362;0.163265306122449;Puerto Carreño-Vichada;99001-Julio-2023;1.0;100.0;MAYOR;N/A;6
99;Vichada;99001;Puerto Carreño;2022;Julio;Total;20798;1;4.808154630252909;0.0836120401337792;Puerto Carreño-Vichada;99001-Julio-2022;F;F;MAYOR;N/A;6
99;Vichada;99001;Puerto Carreño;2023;Febrero;Total;21007;1;4.760317989241681;0.1026694045174538;Puerto Carreño-Vichada;99001-Febrero-2023;1.0;100.0;MAYOR;N/A;6
99;Vichada;99001;Puerto Carreño;2022;Febrero;Total;20798;0;0.0;0.0;Puerto Carreño-Vichada;99001-Febrero-2022;F;F;MAYOR;N/A;6
99;Vichada;99001;Puerto Carreño;2023;Enero;Total;21007;0;0.0;0.0;Puerto Carreño-Vichada;99001-Enero-2023;0.0;0.0;IGUAL;N/A;6
99;Vichada;99001;Puerto Carreño;2022;Enero;Total;20798;0;0.0;0.0;Puerto Carreño-Vichada;99001-Enero-2022;F;F;MAYOR;N/A;6
99;Vichada;99001;Puerto Carreño;2023;Diciembre;Total;21007;0;0.0;;Puerto Carreño-Vichada;99001-Diciembre-2023;-1.0;-100.0;MENOR;N/A;6
