DEPARTAMENTO;MUNICIPIO;AÑO;CONCAT;CODIGO_DANE;CASOS;POBLACIÓN;TASA;PORCENTAJE;Mun_Dep;CAMBIO;CamPORC;CAMBIOConteo;CamCasos;CamCasosPorc;PDET;CATEGORIA
VAUPÉS;CARURU;2012;97161-2012;97161;0;2467;0.0;0.0;CARURU - VAUPÉS;Mayor;nan;Igual;0.0;nan;N/A;6
VAUPÉS;CARURU;2011;97161-2011;97161;0;2406;0.0;0.0;CARURU - VAUPÉS;Mayor;nan;Igual;0.0;nan;N/A;6
VAUPÉS;CARURU;2010;97161-2010;97161;0;2309;0.0;0.0;CARURU - VAUPÉS;NA;NA;NA;NA;NA;N/A;6
VAUPÉS;MITÚ (CT);2023;97001-2023;97001;0;37424;0.0;0.0;MITÚ (CT) - VAUPÉS;Menor;100.0;Menor;2.0;100.0;N/A;6
VAUPÉS;MITÚ (CT);2022;97001-2022;97001;2;35838;5.580668564093978;0.0148787382829936;MITÚ (CT) - VAUPÉS;Mayor;91.45599642837212;Mayor;1.0;100.0;N/A;6
VAUPÉS;MITÚ (CT);2021;97001-2021;97001;1;34307;2.9148570262628617;0.0072082462336913;MITÚ (CT) - VAUPÉS;Menor;76.10327338444048;Menor;3.0;75.0;N/A;6
VAUPÉS;MITÚ (CT);2020;97001-2020;97001;4;32793;12.197725124264323;0.0286676700351178;MITÚ (CT) - VAUPÉS;Mayor;90.90659591986093;Mayor;2.0;100.0;N/A;6
VAUPÉS;MITÚ (CT);2019;97001-2019;97001;2;31302;6.389368091495751;0.0158027812895069;MITÚ (CT) - VAUPÉS;Menor;36.425787489617285;Menor;1.0;33.33333333333333;N/A;6
VAUPÉS;MITÚ (CT);2018;97001-2018;97001;3;29850;10.050251256281408;0.0236835872740191;MITÚ (CT) - VAUPÉS;Mayor;46.06532663316585;Mayor;1.0;50.0;N/A;6
VAUPÉS;MITÚ (CT);2017;97001-2017;97001;2;29067;6.880655038359651;0.0165576620581173;MITÚ (CT) - VAUPÉS;Mayor;94.89455396153713;Mayor;1.0;100.0;N/A;6
VAUPÉS;MITÚ (CT);2016;97001-2016;97001;1;28325;3.53045013239188;0.0082209799408089;MITÚ (CT) - VAUPÉS;Menor;80.60864960282436;Menor;4.0;80.0;N/A;6
VAUPÉS;MITÚ (CT);2015;97001-2015;97001;5;27463;18.20631394967775;0.0401284109149277;MITÚ (CT) - VAUPÉS;Mayor;61.68420541577149;Mayor;2.0;66.66666666666666;N/A;6
VAUPÉS;MITÚ (CT);2014;97001-2014;97001;3;26642;11.260415884693344;0.0231517209445902;MITÚ (CT) - VAUPÉS;Mayor;45.0510472186773;Mayor;1.0;50.0;N/A;6
VAUPÉS;MITÚ (CT);2013;97001-2013;97001;2;25763;7.763071070915654;0.0133591610446863;MITÚ (CT) - VAUPÉS;Mayor;93.57994022435273;Mayor;1.0;100.0;N/A;6
VAUPÉS;MITÚ (CT);2012;97001-2012;97001;1;24936;4.010266281681104;0.0062371359071914;MITÚ (CT) - VAUPÉS;Menor;3.613249919794683;Igual;0.0;0.0;N/A;6
VAUPÉS;MITÚ (CT);2011;97001-2011;97001;1;24035;4.160599126274184;0.006327912421692;MITÚ (CT) - VAUPÉS;Mayor;inf;Mayor;1.0;inf;N/A;6
VAUPÉS;MITÚ (CT);2010;97001-2010;97001;0;23121;0.0;0.0;MITÚ (CT) - VAUPÉS;NA;NA;NA;NA;NA;N/A;6
GUAVIARE;MIRAFLORES;2023;95200-2023;95200;4;7502;53.31911490269261;0.0524246395806028;MIRAFLORES - GUAVIARE;Menor;2.0794454812050276;Igual;0.0;0.0;PDET;6
GUAVIARE;MIRAFLORES;2022;95200-2022;95200;4;7346;54.45140212360469;0.0297574765659872;MIRAFLORES - GUAVIARE;Mayor;291.7233868772121;Mayor;3.0;300.0;PDET;6
GUAVIARE;MIRAFLORES;2021;95200-2021;95200;1;7194;13.900472616068948;0.0072082462336913;MIRAFLORES - GUAVIARE;Menor;51.02863497358909;Menor;1.0;50.0;PDET;6
GUAVIARE;MIRAFLORES;2020;95200-2020;95200;2;7046;28.38489923360772;0.0143338350175589;MIRAFLORES - GUAVIARE;Menor;60.84019301731479;Menor;3.0;60.0;PDET;6
GUAVIARE;MIRAFLORES;2019;95200-2019;95200;5;6898;72.48477819657872;0.0395069532237673;MIRAFLORES - GUAVIARE;Mayor;63.59814438967817;Mayor;2.0;66.66666666666666;PDET;6
GUAVIARE;MIRAFLORES;2018;95200-2018;95200;3;6771;44.30660168365086;0.0236835872740191;MIRAFLORES - GUAVIARE;Menor;51.24058484714223;Menor;3.0;50.0;PDET;6
GUAVIARE;MIRAFLORES;2017;95200-2017;95200;6;6603;90.86778736937757;0.0496729861743521;MIRAFLORES - GUAVIARE;Menor;2.105103740723891;Igual;0.0;0.0;PDET;6
GUAVIARE;MIRAFLORES;2016;95200-2016;95200;6;6464;92.82178217821782;0.0493258796448536;MIRAFLORES - GUAVIARE;Mayor;195.35891089108907;Mayor;4.0;200.0;PDET;6
GUAVIARE;MIRAFLORES;2015;95200-2015;95200;2;6364;31.426775612822127;0.0160513643659711;MIRAFLORES - GUAVIARE;Menor;50.69924575738529;Menor;2.0;50.0;PDET;6
GUAVIARE;MIRAFLORES;2014;95200-2014;95200;4;6275;63.745019920318725;0.0308689612594536;MIRAFLORES - GUAVIARE;Menor;56.11509517485612;Menor;5.0;55.55555555555556;PDET;6
GUAVIARE;MIRAFLORES;2013;95200-2013;95200;9;6196;145.25500322788895;0.0601162247010887;MIRAFLORES - GUAVIARE;Mayor;793.318269851517;Mayor;8.0;800.0;PDET;6
GUAVIARE;MIRAFLORES;2012;95200-2012;95200;1;6150;16.260162601626018;0.0062371359071914;MIRAFLORES - GUAVIARE;Menor;0.35772357723575965;Igual;0.0;0.0;PDET;6
GUAVIARE;MIRAFLORES;2011;95200-2011;95200;1;6128;16.318537859007833;0.006327912421692;MIRAFLORES - GUAVIARE;Menor;50.008159268929504;Menor;1.0;50.0;PDET;6
GUAVIARE;MIRAFLORES;2010;95200-2010;95200;2;6127;32.64240248082259;0.0394244037058939;MIRAFLORES - GUAVIARE;NA;NA;NA;NA;NA;PDET;6
GUAVIARE;EL RETORNO;2023;95025-2023;95025;4;14610;27.378507871321013;0.0524246395806028;EL RETORNO - GUAVIARE;Menor;34.72051106548027;Menor;2.0;33.33333333333333;PDET;6
GUAVIARE;EL RETORNO;2022;95025-2022;95025;6;14306;41.94044456871243;0.0446362148489808;EL RETORNO - GUAVIARE;Menor;58.029597970881355;Menor;8.0;57.142857142857146;PDET;6
GUAVIARE;EL RETORNO;2021;95025-2021;95025;14;14010;99.92862241256246;0.1009154472716788;EL RETORNO - GUAVIARE;Mayor;174.2441113490363;Mayor;9.0;180.0;PDET;6
GUAVIARE;EL RETORNO;2020;95025-2020;95025;5;13722;36.43783704999272;0.0358345875438973;EL RETORNO - GUAVIARE;Menor;16.897439634649928;Menor;1.0;16.66666666666667;PDET;6
GUAVIARE;EL RETORNO;2019;95025-2019;95025;6;13684;43.84682841274481;0.0474083438685208;EL RETORNO - GUAVIARE;Mayor;199.32037415960252;Mayor;4.0;200.0;PDET;6
GUAVIARE;EL RETORNO;2018;95025-2018;95025;2;13653;14.648795136600013;0.0157890581826794;EL RETORNO - GUAVIARE;Menor;72.5209530087579;Menor;5.0;71.42857142857143;PDET;6
GUAVIARE;EL RETORNO;2017;95025-2017;95025;7;13131;53.30896352143783;0.0579518172034108;EL RETORNO - GUAVIARE;Mayor;35.916533394257925;Mayor;2.0;40.0;PDET;6
GUAVIARE;EL RETORNO;2016;95025-2016;95025;5;12748;39.22183871979918;0.0411048997040447;EL RETORNO - GUAVIARE;Menor;46.03946588571628;Menor;4.0;44.44444444444444;PDET;6
GUAVIARE;EL RETORNO;2015;95025-2015;95025;9;12382;72.68615732514941;0.0722311396468699;EL RETORNO - GUAVIARE;Mayor;117.65869811015989;Mayor;5.0;125.0;PDET;6
GUAVIARE;EL RETORNO;2014;95025-2014;95025;4;11978;33.39455668725998;0.0308689612594536;EL RETORNO - GUAVIARE;Mayor;30.327823231479925;Mayor;1.0;33.33333333333334;PDET;6
GUAVIARE;EL RETORNO;2013;95025-2013;95025;3;11708;25.62350529552443;0.0200387415670295;EL RETORNO - GUAVIARE;Menor;63.284719849675426;Menor;5.0;62.5;PDET;6
GUAVIARE;EL RETORNO;2012;95025-2012;95025;8;11463;69.7897583529617;0.0498970872575313;EL RETORNO - GUAVIARE;Mayor;11.553943744469777;Mayor;1.0;14.285714285714292;PDET;6
GUAVIARE;EL RETORNO;2011;95025-2011;95025;7;11189;62.56144427562785;0.0442953869518445;EL RETORNO - GUAVIARE;Mayor;243.96282062740192;Mayor;5.0;250.0;PDET;6
GUAVIARE;EL RETORNO;2010;95025-2010;95025;2;10996;18.188432157148053;0.0394244037058939;EL RETORNO - GUAVIARE;NA;NA;NA;NA;NA;PDET;6
GUAVIARE;CALAMAR;2023;95015-2023;95015;7;10723;65.28023873915882;0.091743119266055;CALAMAR - GUAVIARE;Mayor;37.0754453044857;Mayor;2.0;40.0;PDET;6
GUAVIARE;CALAMAR;2022;95015-2022;95015;5;10499;47.62358319839985;0.037196845707484;CALAMAR - GUAVIARE;Mayor;389.6656824459473;Mayor;4.0;400.0;PDET;6
GUAVIARE;CALAMAR;2021;95015-2021;95015;1;10282;9.725734292939116;0.0072082462336913;CALAMAR - GUAVIARE;Menor;83.67859690073267;Menor;5.0;83.33333333333333;PDET;6
