departamento;ano;casos;proyeccion;tasa;CambioConteo;CambioCasos;CambioCasosPor
GUAINÍA;2014;3;41946;7.152052639107423;Menor;2.0;40.0
GUAINÍA;2013;5;40638;12.303755106058368;Mayor;4.0;400.0
GUAINÍA;2010;1;36793;2.7179082977740334;NA;NA;NA
ATLÁNTICO;2023;431;2835509;15.200092822840626;Menor;255.0;37.17201166180758
ATLÁNTICO;2022;686;2804025;24.464831804281346;Menor;26.0;3.6516853932584326
ATLÁNTICO;2021;712;2771139;25.693406213113093;Mayor;104.0;17.10526315789474
ATLÁNTICO;2020;608;2722128;22.335466958203288;Mayor;90.0;17.37451737451738
ATLÁNTICO;2019;518;2638151;19.634964033521964;Menor;30.0;5.474452554744531
ATLÁNTICO;2018;548;2535517;21.61294915395953;Menor;11.0;1.967799642218253
ATLÁNTICO;2017;559;2468429;22.645982525727906;Mayor;9.0;1.6363636363636402
ATLÁNTICO;2016;550;2427046;22.661292781430596;Menor;18.0;3.1690140845070403
ATLÁNTICO;2015;568;2393557;23.73037283006003;Mayor;51.0;9.864603481624755
ATLÁNTICO;2014;517;2366899;21.842926124012894;Mayor;9.0;1.7716535433070817
ATLÁNTICO;2013;508;2341335;21.697023279453816;Menor;41.0;7.4681238615664824
ATLÁNTICO;2012;549;2315361;23.711205293688543;Mayor;24.0;4.571428571428569
ATLÁNTICO;2011;525;2288947;22.93631088880608;Mayor;334.0;174.869109947644
ATLÁNTICO;2010;191;2261656;8.445139313847905;NA;NA;NA
HUILA;2023;156;1149598;13.569960977663497;Menor;122.0;43.884892086330936
HUILA;2022;278;1140932;24.36604460213229;Menor;41.0;12.85266457680251
HUILA;2021;319;1131934;28.18185512582889;Mayor;31.0;10.763888888888886
HUILA;2020;288;1122622;25.65422733564815;Mayor;28.0;10.769230769230774
HUILA;2019;260;1111844;23.384575533977788;Mayor;23.0;9.704641350210977
HUILA;2018;237;1100386;21.53789670170286;Mayor;28.0;13.397129186602868
HUILA;2017;209;1086654;19.23335302681442;Menor;44.0;17.391304347826093
HUILA;2016;253;1073916;23.55863959564808;Mayor;48.0;23.41463414634147
HUILA;2015;205;1061405;19.314022451373415;Menor;26.0;11.25541125541126
HUILA;2014;231;1049215;22.016459924800923;Menor;106.0;31.454005934718097
HUILA;2013;337;1037252;32.48969392201702;Mayor;15.0;4.658385093167695
HUILA;2012;322;1025384;31.402869559111515;Mayor;7.0;2.2222222222222285
HUILA;2011;315;1013418;31.082929255253013;Mayor;215.0;215.0
HUILA;2010;100;1001372;9.986298798049075;NA;NA;NA
ANTIOQUIA;2023;970;6994792;13.867460247567044;Menor;917.0;48.59565447800742
ANTIOQUIA;2022;1887;6887306;27.398230890278437;Menor;249.0;11.657303370786522
ANTIOQUIA;2021;2136;6782584;31.492422357025;Menor;193.0;8.286818376985835
ANTIOQUIA;2020;2329;6677930;34.87607686813129;Menor;33.0;1.3971210838272583
ANTIOQUIA;2019;2362;6550206;36.05993460358346;Menor;87.0;3.5524703960800394
ANTIOQUIA;2018;2449;6407102;38.22320918256023;Mayor;513.0;26.497933884297524
ANTIOQUIA;2017;1936;6296843;30.74556567473574;Mayor;58.0;3.0883919062832774
ANTIOQUIA;2016;1878;6211312;30.23515804712434;Menor;28.0;1.4690451206715665
ANTIOQUIA;2015;1906;6134953;31.06788267163579;Menor;79.0;3.9798488664987417
ANTIOQUIA;2014;1985;6066806;32.719028760768026;Menor;499.0;20.088566827697264
ANTIOQUIA;2013;2484;6001151;41.39205962322894;Menor;599.0;19.429127473240356
ANTIOQUIA;2012;3083;5935916;51.938066509027415;Mayor;140.0;4.7570506286102585
ANTIOQUIA;2011;2943;5869191;50.143196907376165;Mayor;2010.0;215.43408360128615
ANTIOQUIA;2010;933;5800160;16.08576315136134;NA;NA;NA
NORTE DE SANTANDER;2023;295;1658835;17.7835649718025;Menor;180.0;37.89473684210526
NORTE DE SANTANDER;2022;475;1651278;28.76559852429452;Menor;120.0;20.168067226890756
NORTE DE SANTANDER;2021;595;1642746;36.219841655374594;Menor;53.0;8.179012345679013
NORTE DE SANTANDER;2020;648;1620318;39.9921496891351;Mayor;133.0;25.825242718446603
NORTE DE SANTANDER;2019;515;1565362;32.89973820752005;Menor;7.0;1.3409961685823788
NORTE DE SANTANDER;2018;522;1491689;34.99388947696202;Mayor;8.0;1.5564202334630295
